timestamp,message,logStreamName
1693337840331,"END RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337840331,"REPORT RequestId: 40330a73-2c97-4cfa-820c-ec384f42a95a	Duration: 508.51 ms	Billed Duration: 509 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842658,"START RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842753,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842792,"END RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842792,"REPORT RequestId: 9eff7786-aeb7-443f-9459-2b4cd6be94de	Duration: 134.15 ms	Billed Duration: 135 ms	Memory Size: 128 MB	Max Memory Used: 78 MB	
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842912,"START RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a Version: $LATEST
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337842941,"START RequestId: 6cffd8c8-6282-41a3-ba77-d2e868562c6f Version: $LATEST
",2023/08/29/[$LATEST]21c9d48945c84cf499fb189b8b5b64c6
1693337842945,"START RequestId: 8973ef81-f3c0-435c-8c3b-71af8a2235a9 Version: $LATEST
",2023/08/29/[$LATEST]3e74d0bda4a841868707e17c682aefb7
1693337843071,"[ERROR] NameError: name 'dynamo_resource' is not defined
Traceback (most recent call last):
  File ""/var/task/lambda_function.py"", line 15, in lambda_handler
    dynamo_table = dynamo_resource.Table(NOMBRE_TABLA)",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843072,"END RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
1693337843072,"REPORT RequestId: 71f41ae2-cb68-4daf-b5cc-62ce421bc04a	Duration: 160.18 ms	Billed Duration: 161 ms	Memory Size: 128 MB	Max Memory Used: 79 MB	
",2023/08/29/[$LATEST]3beda7a9f6a14a71a40b1579a33f9f87
